11373500_2244000,113.737500,22.442500
11373500_2244500,113.737500,22.447500
11373500_2245000,113.737500,22.452500
11373500_2245500,113.737500,22.457500
11373500_2246000,113.737500,22.462500
11373500_2246500,113.737500,22.467500
11373500_2247000,113.737500,22.472500
11373500_2247500,113.737500,22.477500
11373500_2248000,113.737500,22.482500
11373500_2248500,113.737500,22.487500
11373500_2249000,113.737500,22.492500
11373500_2249500,113.737500,22.497500
11373500_2250000,113.737500,22.502500
11373500_2250500,113.737500,22.507500
11373500_2251000,113.737500,22.512500
11373500_2251500,113.737500,22.517500
11373500_2252000,113.737500,22.522500
11373500_2252500,113.737500,22.527500
11373500_2253000,113.737500,22.532500
11373500_2253500,113.737500,22.537500
11373500_2254000,113.737500,22.542500
11373500_2254500,113.737500,22.547500
11373500_2255000,113.737500,22.552500
11373500_2255500,113.737500,22.557500
11373500_2256000,113.737500,22.562500
11373500_2256500,113.737500,22.567500
11373500_2257000,113.737500,22.572500
11373500_2257500,113.737500,22.577500
11373500_2258000,113.737500,22.582500
11373500_2258500,113.737500,22.587500
11373500_2259000,113.737500,22.592500
11373500_2259500,113.737500,22.597500
11373500_2260000,113.737500,22.602500
11373500_2260500,113.737500,22.607500
11373500_2261000,113.737500,22.612500
11373500_2261500,113.737500,22.617500
11373500_2262000,113.737500,22.622500
11373500_2262500,113.737500,22.627500
11373500_2263000,113.737500,22.632500
11373500_2263500,113.737500,22.637500
11373500_2264000,113.737500,22.642500
11373500_2264500,113.737500,22.647500
11373500_2265000,113.737500,22.652500
11373500_2265500,113.737500,22.657500
11373500_2266000,113.737500,22.662500
11373500_2266500,113.737500,22.667500
11373500_2267000,113.737500,22.672500
11373500_2267500,113.737500,22.677500
11373500_2268000,113.737500,22.682500
11373500_2268500,113.737500,22.687500
11373500_2269000,113.737500,22.692500
11373500_2269500,113.737500,22.697500
11373500_2270000,113.737500,22.702500
11373500_2270500,113.737500,22.707500
11373500_2271000,113.737500,22.712500
11373500_2271500,113.737500,22.717500
11373500_2272000,113.737500,22.722500
11373500_2272500,113.737500,22.727500
11373500_2273000,113.737500,22.732500
11373500_2273500,113.737500,22.737500
11373500_2274000,113.737500,22.742500
11373500_2274500,113.737500,22.747500
11373500_2275000,113.737500,22.752500
11373500_2275500,113.737500,22.757500
11373500_2276000,113.737500,22.762500
11373500_2276500,113.737500,22.767500
11373500_2277000,113.737500,22.772500
11373500_2277500,113.737500,22.777500
11373500_2278000,113.737500,22.782500
11373500_2278500,113.737500,22.787500
11373500_2279000,113.737500,22.792500
11373500_2279500,113.737500,22.797500
11373500_2280000,113.737500,22.802500
11373500_2280500,113.737500,22.807500
11373500_2281000,113.737500,22.812500
11373500_2281500,113.737500,22.817500
11373500_2282000,113.737500,22.822500
11373500_2282500,113.737500,22.827500
11373500_2283000,113.737500,22.832500
11373500_2283500,113.737500,22.837500
11373500_2284000,113.737500,22.842500
11374000_2244000,113.742500,22.442500
11374000_2244500,113.742500,22.447500
11374000_2245000,113.742500,22.452500
11374000_2245500,113.742500,22.457500
11374000_2246000,113.742500,22.462500
11374000_2246500,113.742500,22.467500
11374000_2247000,113.742500,22.472500
11374000_2247500,113.742500,22.477500
11374000_2248000,113.742500,22.482500
11374000_2248500,113.742500,22.487500
11374000_2249000,113.742500,22.492500
11374000_2249500,113.742500,22.497500
11374000_2250000,113.742500,22.502500
11374000_2250500,113.742500,22.507500
11374000_2251000,113.742500,22.512500
11374000_2251500,113.742500,22.517500
11374000_2252000,113.742500,22.522500
11374000_2252500,113.742500,22.527500
11374000_2253000,113.742500,22.532500
11374000_2253500,113.742500,22.537500
11374000_2254000,113.742500,22.542500
11374000_2254500,113.742500,22.547500
11374000_2255000,113.742500,22.552500
11374000_2255500,113.742500,22.557500
11374000_2256000,113.742500,22.562500
11374000_2256500,113.742500,22.567500
11374000_2257000,113.742500,22.572500
11374000_2257500,113.742500,22.577500
11374000_2258000,113.742500,22.582500
11374000_2258500,113.742500,22.587500
11374000_2259000,113.742500,22.592500
11374000_2259500,113.742500,22.597500
11374000_2260000,113.742500,22.602500
11374000_2260500,113.742500,22.607500
11374000_2261000,113.742500,22.612500
11374000_2261500,113.742500,22.617500
11374000_2262000,113.742500,22.622500
11374000_2262500,113.742500,22.627500
11374000_2263000,113.742500,22.632500
11374000_2263500,113.742500,22.637500
11374000_2264000,113.742500,22.642500
11374000_2264500,113.742500,22.647500
11374000_2265000,113.742500,22.652500
11374000_2265500,113.742500,22.657500
11374000_2266000,113.742500,22.662500
11374000_2266500,113.742500,22.667500
11374000_2267000,113.742500,22.672500
11374000_2267500,113.742500,22.677500
11374000_2268000,113.742500,22.682500
11374000_2268500,113.742500,22.687500
11374000_2269000,113.742500,22.692500
11374000_2269500,113.742500,22.697500
11374000_2270000,113.742500,22.702500
11374000_2270500,113.742500,22.707500
11374000_2271000,113.742500,22.712500
11374000_2271500,113.742500,22.717500
11374000_2272000,113.742500,22.722500
11374000_2272500,113.742500,22.727500
11374000_2273000,113.742500,22.732500
11374000_2273500,113.742500,22.737500
11374000_2274000,113.742500,22.742500
11374000_2274500,113.742500,22.747500
11374000_2275000,113.742500,22.752500
11374000_2275500,113.742500,22.757500
11374000_2276000,113.742500,22.762500
11374000_2276500,113.742500,22.767500
11374000_2277000,113.742500,22.772500
11374000_2277500,113.742500,22.777500
11374000_2278000,113.742500,22.782500
11374000_2278500,113.742500,22.787500
11374000_2279000,113.742500,22.792500
11374000_2279500,113.742500,22.797500
11374000_2280000,113.742500,22.802500
11374000_2280500,113.742500,22.807500
